AUS,BOS,2137,52,41.09615384615385
AUS,BWI,1880,129,14.573643410852712
AUS,CLE,2179,67,32.52238805970149
AUS,CVG,1981,71,27.901408450704224
AUS,DAL,22716,926,24.531317494600433
AUS,DEN,8312,319,26.0564263322884
AUS,DFW,14000,546,25.641025641025642
AUS,DSM,129,1,129.0
AUS,ELP,4406,204,21.598039215686274
AUS,EWR,6194,137,45.21167883211679
AUS,HOU,8822,383,23.033942558746737
AUS,HRL,1241,70,17.728571428571428
AUS,IAD,3577,68,52.60294117647059
AUS,IAH,11390,372,30.618279569892472
AUS,JAX,1920,33,58.18181818181818
AUS,JFK,7832,193,40.58031088082902
AUS,LAS,4008,199,20.14070351758794
AUS,LAX,5410,213,25.399061032863848
AUS,LBB,2635,113,23.31858407079646
AUS,MAF,2596,108,24.037037037037038
AUS,MCI,2156,79,27.29113924050633
AUS,MCO,785,55,14.272727272727273
AUS,MDW,2902,107,27.121495327102803
AUS,MEM,3534,85,41.576470588235296
AUS,MSP,693,17,40.76470588235294
AUS,MSY,1269,67,18.940298507462686
AUS,OKC,1330,57,23.333333333333332
AUS,ONT,2883,60,48.05
AUS,ORD,15971,302,52.884105960264904
AUS,PHL,393,11,35.72727272727273
AUS,PHX,5430,327,16.605504587155963
AUS,RDU,1002,36,27.833333333333332
AUS,SAN,2773,162,17.117283950617285
AUS,SEA,145,4,36.25
AUS,SFO,843,25,33.72
AUS,SJC,2839,80,35.4875
AUS,SLC,1614,45,35.86666666666667
AUS,SNA,637,12,53.083333333333336
AUS,STL,1229,20,61.45
AUS,TPA,1108,66,16.78787878787879
AUS,TUL,465,17,27.352941176470587
AUS,TUS,533,32,16.65625
AVL,ATL,5882,134,43.8955223880597
AVL,CVG,88,5,17.6
AVL,DTW,2305,45,51.22222222222222
AVL,EWR,4017,79,50.848101265822784
AVL,IAH,549,11,49.90909090909091
AVL,MSP,305,16,19.0625
AVP,ATL,4109,122,33.68032786885246
AVP,CVG,504,13,38.76923076923077
AVP,DTW,3560,65,54.76923076923077
AVP,JFK,14,2,7.0
AVP,LGA,116,1,116.0
AVP,ORD,6515,88,74.0340909090909
AZO,CVG,50,2,25.0
AZO,DTW,6353,158,40.20886075949367
AZO,MSP,1423,22,64.68181818181819
AZO,ORD,15159,281,53.94661921708185
BDL,ATL,6035,259,23.301158301158303
BDL,BNA,1017,61,16.672131147540984
BDL,BWI,9430,481,19.604989604989605
BDL,CLE,2441,61,40.01639344262295
